"","Song","Singer","singer gender","genre","Location in Top 100","Location In Playlist","Total Number of Lines","Man not talking Women","Man talking Women","Women not talking Man","Women talking man","Romantic G Neutral","Sexual G neutral","Count Check","prop_1","prop_2","prop_3","prop_4","prop_5","prop_6"
"1","XO TOUR Llif3","Lil Uzi Vert","Male","RapCaviar",11,1,72,58,8,1,3,0,2,0,0.111111111111111,0.805555555555556,0.0416666666666667,0.0138888888888889,0,0.0277777777777778
"2","Butterfly Effect","Travis Scott","Male","RapCaviar",NA,2,51,48,1,0,0,0,2,0,0.0196078431372549,0.941176470588235,0,0,0,0.0392156862745098
"3","Slippery","Migos","Male","RapCaviar",NA,3,107,66,21,0,0,0,20,0,0.196261682242991,0.616822429906542,0,0,0,0.186915887850467
"4","Bank Account","21 Savage","Male","RapCaviar",95,4,80,72,8,0,0,0,0,0,0.1,0.9,0,0,0,0
"5","Magnolia","Playboi Carti","Male","RapCaviar",NA,5,62,39,23,0,0,0,0,0,0.370967741935484,0.629032258064516,0,0,0,0
"6","Portland","Drake","Male","RapCaviar",NA,6,97,88,9,0,0,0,0,0,0.0927835051546392,0.907216494845361,0,0,0,0
"7","Roll in Peace","Kodak Black","Male","RapCaviar",NA,7,98,42,56,0,0,0,0,0,0.571428571428571,0.428571428571429,0,0,0,0
"8","No Complaints","Metro Boomin","Male","RapCaviar",NA,8,102,94,8,0,0,0,0,0,0.0784313725490196,0.92156862745098,0,0,0,0
"9","Water","Ugly God","Male","RapCaviar",NA,9,41,13,28,0,0,0,0,0,0.682926829268293,0.317073170731707,0,0,0,0
"10","The Way Life Goes","Lil Uzi Vert","Male","RapCaviar",NA,10,68,45,23,0,0,0,0,0,0.338235294117647,0.661764705882353,0,0,0,0
"11","Unforgettable","French Montana","Male","RapCaviar",8,11,77,8,69,0,0,0,0,0,0.896103896103896,0.103896103896104,0,0,0,0
"12","DNA","Kendrick Lamar","Male","RapCaviar",61,12,100,100,0,0,0,0,0,0,0,1,0,0,0,0
"13","Bodak Yellow","Cardi B","Female","RapCaviar",NA,13,58,0,0,50,8,0,0,0,0,0,0.137931034482759,0.862068965517241,0,0
"14","Drowning","A Boogie Wit da Hoodie","Male","RapCaviar",NA,14,57,51,6,0,0,0,0,0,0.105263157894737,0.894736842105263,0,0,0,0
"15","T-Shirt","Migos","Male","RapCaviar",NA,15,64,49,15,0,0,0,0,0,0.234375,0.765625,0,0,0,0
"16","Plain Jane","A$AP Ferg","Male","RapCaviar",NA,16,56,40,16,0,0,0,0,0,0.285714285714286,0.714285714285714,0,0,0,0
"17","I Get the Bag","Gucci Mane","Male","RapCaviar",NA,17,119,91,28,0,0,0,0,0,0.235294117647059,0.764705882352941,0,0,0,0
"18","Perplexing Pegasus","Rae Sremmurd","Male","RapCaviar",NA,18,52,44,8,0,0,0,0,0,0.153846153846154,0.846153846153846,0,0,0,0
"19","Swang","Rae Sremmurd","Male","RapCaviar",NA,19,51,37,14,0,0,0,0,0,0.274509803921569,0.725490196078431,0,0,0,0
"20","wokeuplikethis*","Playboi Carti","Male","RapCaviar",NA,20,73,54,19,0,0,0,0,0,0.26027397260274,0.73972602739726,0,0,0,0
