Song,Singer,singer gender,genre,Location in Top 100,Location In Playlist,Total Number of Lines,Man not talking Women,Man talking Women,Women not talking Man,Women talking man,Romantic G Neutral,Sexual G neutral,Count Check
XO TOUR Llif3,Lil Uzi Vert,Male,RapCaviar,11,1,72,58,8,1,3,0,2,0
Butterfly Effect,Travis Scott,Male,RapCaviar,NA,2,51,48,1,0,0,0,2,0
Slippery,Migos,Male,RapCaviar,NA,3,107,66,21,0,0,0,20,0
Bank Account,21 Savage,Male,RapCaviar,95,4,80,72,8,0,0,0,0,0
Magnolia,Playboi Carti,Male,RapCaviar,NA,5,62,39,23,0,0,0,0,0
Portland,Drake,Male,RapCaviar,NA,6,97,88,9,0,0,0,0,0
Roll in Peace,Kodak Black,Male,RapCaviar,NA,7,98,42,56,0,0,0,0,0
No Complaints,Metro Boomin,Male,RapCaviar,NA,8,102,94,8,0,0,0,0,0
Water,Ugly God,Male,RapCaviar,NA,9,41,13,28,0,0,0,0,0
The Way Life Goes,Lil Uzi Vert,Male,RapCaviar,NA,10,68,45,23,0,0,0,0,0
Unforgettable,French Montana,Male,RapCaviar,8,11,77,8,69,0,0,0,0,0
DNA,Kendrick Lamar,Male,RapCaviar,61,12,100,100,0,0,0,0,0,0
Bodak Yellow,Cardi B,Female,RapCaviar,NA,13,58,0,0,50,8,0,0,0
Drowning,A Boogie Wit da Hoodie,Male,RapCaviar,NA,14,57,51,6,0,0,0,0,0
T-Shirt,Migos,Male,RapCaviar,NA,15,64,49,15,0,0,0,0,0
Plain Jane,A$AP Ferg,Male,RapCaviar,NA,16,56,40,16,0,0,0,0,0
I Get the Bag,Gucci Mane,Male,RapCaviar,NA,17,119,91,28,0,0,0,0,0
Perplexing Pegasus,Rae Sremmurd,Male,RapCaviar,NA,18,52,44,8,0,0,0,0,0
Swang,Rae Sremmurd,Male,RapCaviar,NA,19,51,37,14,0,0,0,0,0
wokeuplikethis*,Playboi Carti,Male,RapCaviar,NA,20,73,54,19,0,0,0,0,0
Rake it Up,Yo Gotti (Ft. Nicki Minaj),Both,RapCaviar,NA,21,82,25,41,14,2,0,0,0
HUMBLE.,Kendrick Lamar,Male,RapCaviar,6,22,70,57,13,0,0,0,0,0
iSpy,Kyle,Male,RapCaviar,46,23,80,52,28,0,0,0,0,0
Rockstar,Post Malone,Male,RapCaviar,38,24,65,50,15,0,0,0,0,0
Met Gala,Gucci Mane,Male,RapCaviar,NA,25,110,75,35,0,0,0,0,0
Tunnel Vision,Kodak Black,Male,RapCaviar,NA,26,69,39,30,0,0,0,0,0
1-800-273-8266,Logic (Ft. Alessia Cara),Both,RapCaviar,36,27,93,82,0,10,0,1,0,0
Perfect Pint,Mike WiLL Made-it,Male,RapCaviar,NA,28,65,63,2,0,0,0,0,0
Gyalchester,Drake,Male,RapCaviar,NA,29,42,38,4,0,0,0,0,0
Crew REMIX,Goldlink,Male,RapCaviar,NA,30,75,19,56,0,0,0,0,0
Ahora Dice,Chris Jeday,Male,Trap Land,93,1,92,28,64,0,0,0,0,0
Bodak Yellow,Cardi B (Ft. Messiah),Both,Trap Land,NA,2,66,13,4,42,7,0,0,0
No Te Hagas,Jory Boy,Male,Trap Land,NA,3,70,15,55,0,0,0,0,0
Pa Ti,Bad Bunny,Male,Trap Land,NA,4,62,6,56,0,0,0,0,0
Krippy Kush,Farruko,Male,Trap Land,NA,5,77,63,14,0,0,0,0,0
Vuelve,Daddy Yankee,Male,Trap Land,NA,6,95,40,55,0,0,0,0,0
47 - Remix,Anuel Aa,Male,Trap Land,NA,7,204,198,6,0,0,0,0,0
Doble Personalidad,Trap Capos,Male,Trap Land,NA,8,79,15,64,0,0,0,0,0
Lo Siento,Kaydy Cain,Male,Trap Land,NA,9,79,12,67,0,0,0,0,0
Ahora Me Llama,Karol G,Both,Trap Land,NA,10,61,13,13,22,13,0,0,0
Nunca Me Amo,Jon Z,Male,Trap Land,NA,11,69,10,55,0,0,0,4,0
Me Llueven,Mark B,Male,Trap Land,NA,12,86,68,18,0,0,0,0,0
Male Mujer,C. Tangana,Male,Trap Land,NA,13,49,8,41,0,0,0,0,0
Angel y Diabla,Hadrian,Male,Trap Land,NA,14,52,1,51,0,0,0,0,0
Haters - Remix,J Alvarez,Male,Trap Land,NA,15,127,99,28,0,0,0,0,0
Que Tengo Que Hacer,Lary Over,Male,Trap Land,NA,16,58,12,46,0,0,0,0,0
Chambea,Bad Bunny,Male,Trap Land,NA,17,51,51,0,0,0,0,0,0
Sexto Sentido,Gigolo Y la Exce,Male,Trap Land,NA,18,63,20,43,0,0,0,0,0
Loca,Cazzu (Ft. Khea),Both,Trap Land,NA,19,79,3,56,0,20,0,0,0
Luna Llena,Paulo Londra,Male,Trap Land,NA,20,65,58,7,0,0,0,0,0
Todo Poderoso,Almigthy,Male,Trap Land,NA,21,89,86,3,0,0,0,0,0
Por Ti,Fuego,Male,Trap Land,NA,22,51,4,47,0,0,0,0,0
Demasiao Tarde,C. Tangana,Male,Trap Land,NA,23,78,25,53,0,0,0,0,0
Amigos y Enemigos,Trap Capos,Male,Trap Land,NA,24,122,25,97,0,0,0,0,0
Sensualidad,Bad Bunny,Male,Trap Land,NA,25,75,13,62,0,0,0,0,0
Explicale,Yandel,Male,Trap Land,NA,26,76,23,53,0,0,0,0,0
