Song,Singer,singer gender,genre,Location in Top 100,Location In Playlist,Total Number of Lines,Man not talking Women,Man talking Women,Women not talking Man,Women talking man,Romantic G Neutral,Sexual G neutral,Count Check
XO TOUR Llif3,Lil Uzi Vert,Male,RapCaviar,11,1,72,58,8,1,3,0,2,0
Butterfly Effect,Travis Scott,Male,RapCaviar,NA,2,50,48,1,0,0,0,2,1
Slippery,Migos,Male,RapCaviar,NA,3,107,66,21,0,0,0,20,0
Bank Account,21 Savage,Male,RapCaviar,95,4,80,72,8,0,0,0,0,0
Magnolia,Playboi Carti,Male,RapCaviar,NA,5,62,39,23,0,0,0,0,0
Portland,Drake,Male,RapCaviar,NA,6,97,88,9,0,0,0,0,0
Roll in Peace,Kodak Black,Male,RapCaviar,NA,7,98,42,56,0,0,0,0,0
No Complaints,Metro Boomin,Male,RapCaviar,NA,8,102,94,8,0,0,0,0,0
Water,Ugly God,Male,RapCaviar,NA,9,41,13,28,0,0,0,0,0
The Way Life Goes,Lil Uzi Vert,Male,RapCaviar,NA,10,68,45,23,0,0,0,0,0
Unforgettable,French Montana,Male,RapCaviar,8,11,77,8,69,0,0,0,0,0
DNA,Kendrick Lamar,Male,RapCaviar,61,12,100,100,0,0,0,0,0,0
Bodak Yellow,Cardi B,Female,RapCaviar,NA,13,58,0,0,50,8,0,0,0
Drowning,A Boogie Wit da Hoodie,Male,RapCaviar,NA,14,57,51,6,0,0,0,0,0
T-Shirt,Migos,Male,RapCaviar,NA,15,64,49,15,0,0,0,0,0
Plain Jane,A$AP Ferg,Male,RapCaviar,NA,16,56,40,16,0,0,0,0,0
I Get the Bag,Gucci Mane,Male,RapCaviar,NA,17,119,91,28,0,0,0,0,0
Perplexing Pegasus,Rae Sremmurd,Male,RapCaviar,NA,18,52,44,8,0,0,0,0,0
Swang,Rae Sremmurd,Male,RapCaviar,NA,19,51,37,14,0,0,0,0,0
wokeuplikethis*,Playboi Carti,Male,RapCaviar,NA,20,73,54,19,0,0,0,0,0
Rake it Up,Yo Gotti (Ft. Nicki Minaj),Both,RapCaviar,NA,21,82,25,41,14,2,0,0,0
HUMBLE.,Kendrick Lamar,Male,RapCaviar,6,22,70,57,13,0,0,0,0,0
